date,EQ_VALUE,EQ_MOM,EQ_LOWVOL,RATES_CARRY,RATES_TREND,FX_CARRY,FX_VALUE,COM_CARRY,COM_TREND,MULTI_TREND
2018-01-01,100,100,100,100,100,100,100,100,100,100
2018-01-02,100.131146336,99.9282590761,99.8841356681,99.7893735378,99.8657031902,100.187207915,100.410659441,100.236512274,99.7662341031,100.21263318
2018-01-03,99.8327821086,100.009999601,101.113434999,99.2557492134,99.8959932343,100.307005334,101.268305198,100.38557622,99.0856808829,100.784880958
2018-01-04,100.350236628,100.190423622,100.761057697,99.2741344916,99.5971736854,100.646324471,100.931485446,100.435803695,98.6109454141,100.496736003
2018-01-05,100.547781975,100.213366267,100.435159092,99.1834238483,99.145795951,100.323118469,100.842375876,101.145226631,97.9090696789,101.341073052
2018-01-08,100.451704504,100.270156602,100.061286247,99.7407724629,99.5926675344,99.9554152816,100.63388755,102.035331599,96.8037388028,101.48312739
2018-01-09,100.570548963,100.148594403,100.095507108,100.408705103,100.051495672,99.7681780574,100.483783733,101.099057699,97.5964253798,100.889388698
2018-01-10,100.655602474,100.297929673,100.066117252,100.435216345,100.644537372,99.8300061259,100.378882362,101.706200006,97.861250012,101.625386897
2018-01-11,100.617938232,100.215475522,99.3345342935,100.246991262,100.075438844,99.8921195523,99.8093878436,102.281880624,97.7822096828,101.467310271
2018-01-12,100.393999226,100.346193235,99.033379531,99.9107343533,100.503707505,99.9793361343,99.6744994618,102.761457141,97.6410675536,101.736777426
2018-01-15,100.307121135,101.058712634,98.8981216403,100.466920587,100.420202982,100.305814011,99.9190692595,103.615664654,96.9987142464,102.214699701
2018-01-16,100.98524999,101.243542124,99.2387286815,100.087868653,100.18150816,100.971626549,99.6893387049,103.20201218,98.2852166184,102.380433285
2018-01-17,101.318382084,101.112350346,99.1659386191,100.092675847,100.304360288,100.529614478,99.7966090878,103.699989376,97.811837116,102.07911479
2018-01-18,101.104437837,101.206579956,98.7861856809,100.071832185,100.885140361,100.814348606,99.333736758,103.071419158,98.3899824158,102.254486418
2018-01-19,100.94978485,101.50803252,98.8710716601,100.787157804,100.733938636,101.302633812,98.8007121201,102.816168745,98.6419027558,102.643865714
2018-01-22,100.670889444,101.449476825,98.3235101,100.831807748,100.989496079,101.130048612,98.6680182625,102.154974258,98.1600201064,103.719165843
2018-01-23,100.746229602,101.272744429,98.2363420949,100.5294634,100.637616257,101.59513693,98.5750442689,103.33893002,97.977339265,103.547733816
2018-01-24,100.990230902,100.619400818,98.4121607595,100.500214271,100.986768798,101.984056031,98.1445010025,104.241749279,97.7751691528,102.893783791
2018-01-25,101.101258398,100.535559296,99.0535416149,100.260184121,101.141858076,102.228865579,98.6803006188,104.622454287,98.8991865784,103.36408454
2018-01-26,101.055910465,100.773345279,98.979030997,100.16790627,101.67766448,102.575779588,98.717968948,104.187876621,99.9073111481,104.004846994
2018-01-29,101.348510893,100.898994501,99.358029976,99.9128421973,101.574881894,102.866390283,98.8260141155,104.526199375,100.343238561,104.529271767
2018-01-30,101.291599152,100.564914414,99.3790320606,99.9768654154,101.447182253,102.852712341,98.822478523,105.817609236,101.124255602,105.212467229
2018-01-31,101.463445011,100.804474225,99.1351825655,99.5925453379,101.167236078,103.029590672,97.9302796276,105.914251486,100.703700863,104.835526656
2018-02-01,101.280937013,100.677815615,99.6816337863,99.7338111976,101.177742775,103.039364334,97.8487188996,105.737941951,99.9947811629,105.432497594
2018-02-02,101.135187702,100.177772088,99.670493833,99.5074235592,100.759973053,102.845742294,98.3434879691,105.517676464,101.81775062,106.473629035
2018-02-05,101.311259294,100.912237234,99.7768704255,99.7217038039,101.037061294,102.614453725,98.3241922626,105.088644427,101.925535346,106.160657845
2018-02-06,101.277161299,101.121050685,99.8577557792,99.0370028554,100.686344638,102.384295878,98.0154919799,105.480667863,102.103430319,106.719389903
2018-02-07,101.536574447,101.541059492,100.173451762,99.0130840702,100.992332789,102.76275936,98.161894331,106.474311781,100.57537305,106.4500191
2018-02-08,101.366193646,101.742855617,100.603212575,98.5589085313,101.417050069,102.301502139,97.7484811824,106.09469053,100.498046726,105.73628459
2018-02-09,101.32807373,101.783377011,100.756665771,98.6022364322,101.414823621,102.123300831,98.3961006766,104.118831015,99.9456302605,105.917863761
2018-02-12,101.126375983,101.778807099,100.716717494,98.5233347051,101.41742514,102.374828465,98.2482347352,104.049554389,99.6735989171,105.813535463
2018-02-13,100.869050461,101.990458921,100.671375908,98.8290443343,101.503029119,102.753337543,97.9288777711,103.780678141,99.1054654691,105.382103255
2018-02-14,101.07536277,102.217991461,100.323838112,98.3500443573,101.579586717,102.701686885,97.448682443,102.278473425,99.9924015611,104.648571959
2018-02-15,100.765482123,102.026298759,100.31233213,98.199598665,101.738100807,102.778221513,97.5164936895,101.854550272,99.9123052881,105.127299634
2018-02-16,100.996484884,102.183285508,100.615935603,98.0287576002,101.823302545,102.716358999,97.3186045138,101.633281082,100.273709783,105.659324638
2018-02-19,100.889845366,102.329334193,100.605089558,98.3929249519,101.367621002,102.575038017,97.3523754467,101.621509283,100.09430022,104.321961967
2018-02-20,100.614445432,102.196895067,100.629161103,98.6959293951,101.617535282,102.50526384,97.4102988675,102.06986403,99.9209675158,104.424649556
2018-02-21,100.494232146,102.652373374,100.95054956,98.1194344948,101.7606443,102.737203032,97.3773163821,102.00556104,99.6089784042,104.649259419
2018-02-22,100.436695068,102.428028626,100.554473087,97.9985353204,101.664135863,102.512267631,97.6409944226,101.92214292,100.544194782,105.160734623
2018-02-23,100.396661792,102.250882306,100.255980454,97.7357869535,101.748435298,102.304134414,97.6879417021,101.466030434,99.5237133769,105.650848234
2018-02-26,100.339259147,102.116928267,99.8590914719,98.1689922724,101.899837088,102.244169805,97.5699250062,102.037277452,98.3711351262,106.606810075
2018-02-27,100.707592638,101.186989924,99.6858808655,98.0713908844,101.914797408,102.029127919,97.8331215955,101.922845773,97.6955471423,106.617436989
2018-02-28,101.063166895,101.128462426,99.3421339982,98.7251509866,101.594826975,102.245740795,97.6655794465,102.588293809,98.6496162018,106.626879668
2018-03-01,100.949002697,100.816303739,99.4602058292,98.3351091156,101.152673966,102.564654636,97.4064714839,103.385414043,100.123840403,106.495658104
2018-03-02,100.879205595,100.211485419,99.5243478519,98.1613165745,100.902876956,102.210803297,97.3434922182,102.547578568,101.099241153,106.391823307
2018-03-05,101.340326559,99.8195093515,100.120160499,97.7899057504,100.780139453,102.000759921,97.3955564767,102.551726187,102.526449859,107.165718145
2018-03-06,101.112673732,99.8046659383,99.7358776671,97.6529664304,100.609110201,101.848217423,97.3656611754,101.642492151,102.156002486,108.038478903
2018-03-07,101.752537618,100.172231568,99.4995566594,98.240746359,99.6153382672,102.607517197,97.2073357192,103.207044432,100.831205496,107.907766517
2018-03-08,101.534057595,99.7952671971,99.0048343951,98.0604355201,100.10923214,102.941610603,97.6439124426,102.769379527,100.284253336,107.49534491
2018-03-09,101.714069965,99.3885505403,99.3664794199,98.1683209292,100.257056002,102.670540684,97.9682926669,102.411587492,100.242802167,108.121625699
2018-03-12,101.692674413,99.2293123444,99.5122848004,98.3721161869,100.288916472,102.589809339,97.4128254535,103.482153792,101.028002498,108.508624278
2018-03-13,101.549103801,98.9525371395,99.9394951407,98.0714417154,100.146308494,102.909717852,97.6086225595,103.83114798,100.781091677,109.13520245
2018-03-14,101.948304165,98.9973567251,99.8244880992,97.8025705006,100.585248421,102.806001138,97.3775339712,103.717487529,101.170184587,109.670206663
2018-03-15,101.987052461,98.7299047718,100.296097571,97.8834637006,100.172050992,102.301715501,97.1356101426,102.738848746,100.871461013,110.026591115
2018-03-16,101.687301535,98.556303107,99.9258119398,97.7808428502,100.781710025,101.931892744,97.3671295021,101.374497637,102.028639318,110.124193803
2018-03-19,102.269236603,98.8267875737,100.466402159,97.7113468996,100.675735608,102.59424045,97.0963104748,102.414931588,101.748789208,110.027879144
2018-03-20,102.049579159,98.8079176946,99.9833835688,98.0133854373,100.686472232,102.402649305,96.9656869601,102.54105601,101.127353045,109.942959166
2018-03-21,101.800454525,99.4358379631,100.292530243,98.0862847207,100.94632182,101.731519014,95.978353874,102.049860481,100.497219498,109.918941844
2018-03-22,101.904603322,99.6740398802,100.000900238,98.0755271361,100.885899179,101.754694152,95.9353919662,102.445683936,100.876769707,111.046644697
2018-03-23,101.545329904,99.8181627634,99.8295511898,98.1173416772,101.235568343,101.675076588,94.6269096301,101.099833251,101.081914675,111.732201461
2018-03-26,101.999388062,99.8526078194,99.4649816837,97.9866495293,101.268490344,101.429895885,95.2865785967,102.508804942,101.31121842,111.693324973
2018-03-27,101.937344355,100.501170462,99.665683911,97.883777722,101.24435907,101.405609517,95.4410536394,101.723903908,102.153557872,111.480440241
2018-03-28,102.41680953,100.736677599,99.7963522751,97.6123804103,101.420958952,101.480222583,95.1182566003,102.476536508,101.798807549,110.153275275
2018-03-29,102.36096956,100.836077618,99.7292364026,97.308185217,101.489162294,101.277703672,94.9006322213,101.940212137,102.938059367,109.841336337
2018-03-30,102.600540216,100.796060712,100.20241022,97.5184708556,100.969670743,101.593239379,94.4288607841,101.573240811,102.056693742,108.863825131
2018-04-02,102.871327076,100.571480766,100.239022802,97.5805549059,100.94988613,101.191486227,94.490268536,101.185431664,103.643724946,109.229795255
2018-04-03,102.602363158,100.674464062,100.759165584,97.3222555473,100.721303166,100.995656731,94.3036510934,100.7466007,102.862743861,110.099638383
2018-04-04,102.286702569,100.630043676,101.102285624,97.2971060163,100.536366552,100.627279437,94.1883917671,100.442665991,102.907484496,109.320856268
2018-04-05,102.727959519,100.926795486,101.374182821,97.6296383011,100.374751592,100.679060319,93.9584133011,100.781929482,102.742863346,108.606832096
2018-04-06,101.912954891,100.407636901,101.194955477,97.7591353137,100.761420703,100.90597789,94.2826121755,100.972346014,103.348331847,109.90888514
2018-04-09,102.109748194,100.432049772,101.274219218,97.6134951126,100.917996122,100.572319434,94.5675339917,100.244112418,103.347930767,108.934260616
2018-04-10,102.636485041,100.41389254,101.59359542,97.7108412592,101.077704464,101.081942908,94.148808161,101.71908974,104.180336282,109.071633329
2018-04-11,102.891954225,100.038272961,101.469839824,98.0690635671,100.77950846,101.285143174,94.2665476826,103.160928412,102.919488198,109.937358356
2018-04-12,102.893246962,100.083329955,101.129963177,98.0080457167,100.690195667,101.073074059,94.5649296561,102.839911436,102.156872407,109.460602139
2018-04-13,102.856347294,99.9040351505,101.062522888,98.1932782139,101.048702445,100.907100624,94.0904609102,102.876431838,102.351678943,108.777052024
2018-04-16,102.665532326,99.6509013869,101.065800636,97.8029016846,101.337402077,100.410857324,93.4821561883,102.717862013,102.335610581,108.094372404
2018-04-17,102.652914265,99.8702702885,100.935931148,98.3112384619,101.03262569,101.212651094,93.4023961619,103.074004159,101.630212626,107.674955131
2018-04-18,102.770353184,99.467383454,101.047833507,98.303222977,101.385502321,101.328515502,93.6202941609,102.23707137,102.344411086,107.884138687
2018-04-19,103.086557121,99.5056160772,100.858977721,98.29564948,101.197194472,101.570461322,93.1215631681,103.263524742,101.163755346,107.877322148
2018-04-20,103.195015485,98.59893866,101.370014905,98.088444192,101.207626762,101.391081632,93.6514818132,102.485688524,102.400341332,108.544764375
2018-04-23,103.554871281,98.6270161938,101.981630515,98.1376434487,100.87055369,102.077509125,93.511275511,103.111252062,102.665945394,109.297797541
2018-04-24,103.224350267,98.5801131953,101.766415953,98.5501912341,100.930419832,102.058148169,92.7621442369,102.266245277,103.395294163,109.734665412
2018-04-25,103.2347514,98.347766628,101.502306501,99.2929097101,100.176849141,102.003059423,92.6144878568,101.102870456,103.710221379,110.495287423
2018-04-26,103.370971635,98.4592136656,101.615181785,99.9421216453,100.252841899,102.044265229,91.9313227082,102.57757747,102.595167598,109.592774561
2018-04-27,102.771129934,98.5316740137,101.312418273,100.032901179,100.702530088,101.495713704,91.8511121099,102.433577076,102.690106406,110.407191251
2018-04-30,102.74556463,98.8707301518,101.895361557,99.7254728565,100.642388384,101.805223287,92.1399531977,102.912721425,103.291072112,109.800938258
2018-05-01,103.128726869,99.3424087406,102.047621952,99.3870020215,100.493860332,101.963746906,91.7228800008,102.69261063,102.582982154,110.01929928
2018-05-02,103.117139193,98.7332792534,102.182563421,99.1413914049,100.764606223,101.737488295,91.4728363283,102.098011756,102.458176559,110.223821717
2018-05-03,103.112002756,98.6312804994,102.009962246,99.1082125298,101.325526398,101.413560252,91.2849166483,103.784475745,102.839770876,109.58079551
2018-05-04,103.429039498,98.5256097754,102.329518428,99.219163886,101.095883074,102.062115686,91.4891582802,104.529523033,102.996223861,109.177488616
2018-05-07,103.646526312,98.9398519969,102.424939397,99.6696260634,101.276568208,102.190754229,91.6139677838,104.673960535,102.285345006,109.089098325
2018-05-08,103.584813675,98.7384409131,102.425933456,99.773419998,101.480963527,102.311383799,91.6579902424,103.727845869,103.295201671,109.095016467
2018-05-09,103.990697116,99.088200025,102.529506874,100.343933261,101.528881352,102.883516664,91.6014025973,104.609063848,103.217755451,108.538248499
2018-05-10,103.93033157,98.8441533837,102.561730838,100.260842642,101.943343311,102.661195094,91.796859279,104.390944521,102.594458672,108.367194073
2018-05-11,103.718948854,99.1194028568,102.272302364,100.142883826,102.057008785,102.34870719,91.899722612,103.171285307,103.567749176,108.898579737
2018-05-14,104.069188473,99.3879204758,102.397542371,100.039162438,101.670761903,102.80524727,92.3687025372,102.494434939,103.939194229,108.704088496
2018-05-15,103.726940915,99.4011673203,102.210166238,99.8801415104,101.331747144,102.254049191,92.1806100045,102.411254995,103.366964708,109.06872823
2018-05-16,103.661097819,99.5127878847,102.123611331,99.6863845137,101.381277043,101.775952252,92.4368395492,101.728227899,103.976204419,108.979222579
2018-05-17,103.957486236,99.1717159321,101.867990972,100.003327929,101.315435442,102.126562875,92.6803422513,101.900011821,104.446134592,109.632183773
2018-05-18,103.702585345,99.2977528404,101.148601868,99.780085862,101.454905903,101.714783403,92.8218218448,102.519759416,104.043516973,109.133465517
